ad_id,category_name_1,category_name_2
85562364,Plots,Plots for Sale
12566559,Plots,Plots for Sale
04564313,Plots,Plots for Sale
22600229,Plots,Plots for Sale
75016268,Plots,Plots for Sale
87739262,Plots,Plots for Sale
60765733,Plots,Plots for Sale
50189814,Plots,Plots for Sale
06557489,Plots,Plots for Sale
15799141,Plots,Plots for Sale
70489305,Houses,Houses for Sale
34441502,Houses,Houses for Sale
60245378,Houses,Houses for Sale
08529971,Houses,Houses for Sale
87155536,Houses,Houses for Sale
41293460,Houses,Houses for Sale
20881249,Houses,Houses for Sale
49683822,Houses,Houses for Sale
47778551,Houses,Houses for Sale
22968012,Houses,Houses for Sale
01870827,Houses,Houses for Sale
51019279,Houses,Houses for Sale
56342033,Houses,Houses for Sale
69839260,Houses,Houses for Sale
46596698,Plots,Plots for Sale
41777544,Plots,Plots for Sale
63326009,Plots,Plots for Sale
91371429,Plots,Plots for Sale
39298788,Plots,Plots for Sale
22857809,Plots,Plots for Sale
84589458,Plots,Plots for Sale
05209201,Houses,Houses for Sale
65802667,Houses,Houses for Sale
38169065,Houses,Houses for Sale
79004990,Houses,Houses for Sale
45626028,Houses,Houses for Sale
98782982,Houses,Houses for Sale
83454259,Houses,Houses for Sale
91328565,Houses,Houses for Sale
57670403,Houses,Houses for Sale
20346539,Houses,Houses for Sale
17391899,Houses,Houses for Sale
98812282,Houses,Houses for Sale
31429907,Houses,Houses for Sale
02006882,Houses,Houses for Sale
60031201,Houses,Houses for Sale
42943361,Houses,Houses for Sale
46677854,Houses,Houses for Sale
87729220,Houses,Houses for Sale
30093526,Houses,Houses for Sale
57302496,Houses,Houses for Sale
21921252,Houses,Houses for Sale
88959555,Houses,Houses for Sale
98647255,Houses,Houses for Sale
25597705,Houses,Houses for Sale
22172649,Houses,Houses for Sale
19515093,Houses,Houses for Sale
70031064,Houses,Houses for Sale
21655376,Houses,Houses for Sale
49981740,Houses,Houses for Sale
80575014,Houses,Houses for Sale
57935098,Houses,Houses for Sale
34248480,Houses,Houses for Sale
83321924,Houses,Houses for Sale
66900715,Houses,Houses for Sale
95169433,Houses,Houses for Sale
22004289,Houses,Houses for Sale
90240058,Commercials,Commercials for Sale
28216731,Commercials,Commercials for Sale
06379754,Commercials,Commercials for Sale
26949897,Apartments,Apartments for Sale
63074221,Apartments,Apartments for Sale
80488747,Apartments,Apartments for Sale
27278296,Apartments,Apartments for Sale
45097560,Apartments,Apartments for Sale
06022432,Apartments,Apartments for Sale
08017457,Apartments,Apartments for Sale
81710574,Apartments,Apartments for Sale
47294199,Apartments,Apartments for Sale
49856160,Apartments,Apartments for Sale
79963131,Apartments,Apartments for Sale
58366463,Apartments,Apartments for Sale
71861985,Apartments,Apartments for Sale
09182450,Apartments,Apartments for Sale
21119501,Apartments,Apartments for Sale
48142718,Apartments,Apartments for Sale
64613572,Apartments,Apartments for Sale
